Approved Symbol	Previous Symbols
ALG13	GLT28D1, CXorf45
ALKBH1	ALKBH
ALKBH5	OFOXD1
ALKBH7	SPATA11
ALMS1P	ALMS1L
ALOX12P1	ALOX12P
ALOX15P1	ALOX15P
ALPL	HOPS
ALS2	ALS2CR6
ALX1	CART1
ALX4	PFM2
ALYREF	THOC4
AMBP	ITI, ITIL
AMDP1	AMD2, AMD
AMELX	AMG, AIH1
AMELY	AMGL
AMY1A	AMY1
AMY1B	AMY1
AMY1C	AMY1
AMY2A	AMY2
AMY2B	AMY2
AMYP1	AMY2P
ANAPC10P1	ANAPC10P
ANAPC16	C10orf104
ANGEL1	KIAA0759
ANGPTL1	ANGPT3
ANGPTL3	ANGPT5
ANK1	ANK
ANK2	LQT4
ANKH	CCAL2, CMDJ
ANKLE1	ANKRD41
ANKLE2	KIAA0692
ANKRD13A	ANKRD13
ANKRD19P	ANKRD19
ANKRD20A1	ANKRD20A
ANKRD20A5P	ANKRD20A5
ANKRD20A8P	ANKRD20B
ANKRD20A10P	ANKRD20A4P1
ANKRD20A11P	C21orf81
ANKRD20A18P	C21orf126
ANKRD30BL	NCRNA00164, ANKRD30BP3
ANKRD30BP1	C21orf110, ANKRD30BP
ANKRD30BP2	C21orf99
ANKRD32	BRCTD1
ANKRD33	C12orf7
ANKRD34A	ANKRD34
ANKRD36B	KIAA1641
ANKRD36BP1	ANKRD26L1, ANKRD36BL1
ANKRD60	C20orf86
ANKS1A	ANKS1
ANKS6	SAMD6, ANKRD14
ANKUB1	C3orf16
ANO1	ORAOV2, TMEM16A
ANO1-AS2	C11orf78, NCRNA00224
ANO2	C12orf3, TMEM16B
ANO3	C11orf25, TMEM16C
ANO4	TMEM16D
ANO5	TMEM16E
ANO6	TMEM16F
ANO7	PCANAP5, TMEM16G
ANO7L1	TMEM16M, C1orf224
ANO8	KIAA1623, TMEM16H
ANO9	TP53I5, TMEM16J
ANO10	TMEM16K
ANP32A	C15orf1
ANP32A-IT1	C15orf28, NCRNA00321
ANPEP	CD13, PEPN
ANXA1	ANX1, LPC1
ANXA2	ANX2, ANX2L4, CAL1H, LPC2D
ANXA2P1	LPC2A, ANX2P1, ANX2L1
ANXA2P2	ANX2P2, ANX2L2, LPC2B
ANXA2P3	ANX2P3, ANX2L3, LPC2C
ANXA2R	C5orf39
ANXA3	ANX3
ANXA4	ANX4
ANXA5	ENX2, ANX5
ANXA6	ANX6
ANXA7	ANX7
ANXA8	ANX8
ANXA9	ANX31
ANXA11	ANX11
ANXA13	ANX13
AOX2P	AOX2
AP1AR	C4orf16
AP1B1	ADTB1, CLAPB2
AP1B1P1	ADTB1L1
AP1B1P2	ADTB1L2
AP1G1	CLAPG1, ADTG
AP1S1	CLAPS1
AP1S2	MRX59
AP2A1	CLAPA1, ADTAA
AP2A2	CLAPA2, ADTAB
AP2B1	ADTB2, CLAPB1
AP2M1	CLAPM1
AP2S1	CLAPS2
AP3S1	CLAPS3
AP5S1	C20orf29
APBA1	MINT1
APBA2	X11L, MINT2
APBB1	RIR
APEH	D3F15S2, DNF15S2, D3S48E
APEX1	APEX
API5P1	API5L1
APLF	C2orf13
APLNR	AGTRL1
APLP2	APPL2
APOBEC3D	APOBEC3E
APOBEC4	C1orf169
APOE	AD2
APOH	B2G1
APOL1	APOL
APOO	FAM121B
APOOL	CXorf33, FAM121A
APOPT1	C14orf153
APP	AD1
APTX	AXA1
AQP1	CO
AQP6	AQP2L
AQP7	AQP7L
AQP12A	AQP12
AQP12B	INSSA3
AR	DHTR, SBMA
ARAF	ARAF1
ARAF2P	ARAF2, ARAFPS
ARAP1	CENTD2
ARAP2	CENTD1
ARAP3	CENTD3
ARCN1	COPD
AREG	SDGF
ARF4	ARF2
ARF4P1	ARF4P
ARFGAP1	ARF1GAP
ARFGAP2	ZNF289
ARFGAP3	ARFGAP1
ARHGAP5	GFI2
ARHGAP5-AS1	C14orf128
ARHGAP11B	FAM7B1
ARHGAP16P	ARHGAP15P
ARHGAP27	SH3D20
ARHGAP33	SNX26
ARHGAP35	GRLF1
ARHGAP40	C20orf95
ARHGDIA	GDIA1
ARHGDIB	RAP1GN1, GDIA2, GDID4
ARHGEF6	MRX46
ARHGEF35	ARHGEF5L
ARID1A	C1orf4, SMARCF1
ARID3A	DRIL1
ARID4A	RBBP1
ARID4B	RBP1L1
ARIH2P1	ARIH2P
ARL2BPP2	ARL2BPL
ARL4A	ARL4
ARL4C	ARL7
ARL4D	ARF4L
ARL4P	ARL4B
ARL5A	ARL5
ARL5B	ARL8
ARL5C	ARL12
ARL6	BBS3
ARL6IP1	ARL6IP
ARL6IP1P1	ARL6IPP1
ARL8A	ARL10B
ARL8B	ARL10C
ARL10	ARL10A
ARL13A	ARL13
ARL13B	ARL2L1
ARL14	ARF7
ARL15	ARFRP2
ARL17A	ARF1P2, ARL17P1
ARL17B	ARL17
ARMC12	C6orf81
ARMCX4	CXorf35
ARPC3P1	ARPC3B
ARRB1	ARR1
ARRB2	ARR2
ARSC2	ARSC
ARSDP1	ARSDP
ARSE	CDPX, CDPX1
ARSEP1	ARSEP
ARSFP1	ARSFP
ART2P	RT6
ART4	DO
ARVD1	ARVD
ARX	MRXS1, PRTS, MRX76, MRX54, MRX43, MRX36, MRX29, MRX32, MRX33, MRX38, MRX87
ASAH1	ASAH
ASAP1	DDEF1
ASAP1-IT1	DDEF1IT1
ASAP2	DDEF2
ASAP3	DDEFL1
ASCC3	HELIC1
ASH2L	ASH2L1
ASIC1	ACCN2
ASIC2	ACCN, ACCN1
ASIC3	ACCN3
ASIC4	ACCN4
ASIC5	ACCN5
ASIP	AGTIL
ASLP1	ASLL
ASMTL-AS1	CXYorf2, NCRNA00105, ASMTLAS, ASMTL-AS
ASNSP1	ASNSL1
ASNSP2	ASNSL2
ASPG	C14orf76
ASPM	MCPH5
ASS1	ASS
ASS1P1	ASSP1
ASS1P2	ASSP2
ASS1P3	ASSP3
ASS1P4	ASSP4
ASS1P5	ASSP5
ASS1P6	ASSP6
ASS1P7	ASSP7
ASS1P8	ASSP8
ASS1P9	ASSP9
ASS1P10	ASSP10
ASS1P11	ASSP11
ASS1P12	ASSP12
ASS1P13	ASSP13
ASS1P14	ASSP14
ASTN1	ASTN
ASUN	C12orf11
ASXL3	KIAA1713
ASZ1	C7orf7, ANKL1
ATAD5	C17orf41
ATAT1	C6orf134
ATF2	CREB2
ATF4	TXREB
ATF4P1	TXREBP, ATF4P
ATF4P3	ATF4C
ATF4P4	ATF4B
ATF6B	CREBL1
ATG2B	C14orf103
ATG3	APG3L
ATG3P1	ATG3P
ATG4A	AUTL2, APG4A
ATG4B	APG4B
ATG4C	AUTL1, APG4C
ATG4D	AUTL4, APG4D
ATG5	APG5L
ATG7	APG7L
ATG9A	APG9L1
ATG9B	NOS3AS
ATG10	APG10L
ATG12	APG12L
ATG12P1	ATG12P
ATG13	KIAA0652
ATG14	KIAA0831
ATG16L1	APG16L, ATG16L
ATL1	SPG3, SPG3A
ATL2	ARL6IP2
ATM	ATA, ATDC, ATC, ATD
ATN1	D12S755E, DRPLA
ATP1A1OS	C1orf203
ATP1A2	MHP2
ATP1A3	DYT12
ATP1A4	ATP1AL2
ATP1B1	ATP1B
ATP1B1P1	ATP1BL1
ATP2A1	ATP2A
ATP2A2	ATP2B, DAR
ATP2B4	ATP2B2, MXRA1
ATP2C1	BCPM
ATP5A1	ATP5AL2, ATPM
ATP5A1P1	ATP5AP1
ATP5A1P2	ATP5AP2
ATP5A1P3	ATP5AP3
ATP5A1P4	ATP5AP4
ATP5A1P5	ATP5AL1
ATP5B	ATPSB
ATP5BP1	ATPSBL1, ATP5BL1
ATP5C1	ATP5CL1, ATP5C
ATP5C1P1	ATP5CL2, ATP5C2
ATP5G1	ATP5G
ATP5G1P1	ATP5GP3
ATP5G1P2	ATP5GP4
ATP5G2P1	ATP5GP1
ATP5G2P2	ATP5GP2
ATP5J	ATP5A, ATP5, ATPM
ATP5L2	ATP5K2
ATP5LP1	ATP5KP1
ATP5LP2	ATP5KP2
ATP5LP3	ATP5KP3
ATP6AP1	ATP6S1, ATP6IP1
ATP6AP2	ATP6IP2
ATP6V1A	VPP2, ATP6A1, ATP6V1A1
ATP6V1B1	VPP3, ATP6B1
ATP6V1B2	VPP3, ATP6B2
ATP6V1C1	ATP6D, ATP6C
ATP6V1D	ATP6M
ATP6V1E1	ATP6E, ATP6V1E
ATP6V1E1P1	ATP6EP1, ATP6V1EP1
ATP6V1E1P2	ATP6EP2, ATP6V1EP2
ATP6V1E1P3	ATP6EL1, ATP6V1EL1
ATP6V1E2	ATP6EL2, ATP6V1EL2
ATP6V1G1	ATP6J, ATP6G1
ATP6V1G1P1	ATP6V1GP1
ATP6V1G1P2	ATP6V1GP2
ATP6V1G2	ATP6G, ATP6G2
ATP6V0A1	VPP1, ATP6N1, ATP6N1A
ATP6V0A4	ATP6N1B, ATP6N2, RTA1C
ATP6V0B	ATP6F
ATP6V0C	ATPL, ATP6C, ATP6L
ATP6V0CP1	ATCD1
ATP6V0D1	ATP6D
ATP6V0E1	ATP6H, ATP6V0E
ATP6V0E2	C7orf32, ATP6V0E2L
ATP7A	MNK
ATP7B	WND
ATP8B1	FIC1, BRIC, PFIC1
ATP10A	ATP10C
ATP12A	ATP1AL1
ATP13A1	ATP13A
ATP13A2	PARK9
ATPAF1-AS1	C1orf223
ATRX	RAD54, JMS
ATXN1	SCA1
ATXN2	SCA2, TNRC13
ATXN3	SCA3, MJD
ATXN7	SCA7
ATXN7L1	ATXN7L4
ATXN8OS	SCA8, KLHL1AS
ATXN10	SCA10
AURKA	STK15, STK6
AURKAPS1	STK6P
AURKB	STK12
AURKC	STK13
AVL9	KIAA0241
AVP	ARVP
AVPR1A	AVPR1
AVPR1B	AVPR3
AVPR2	DIR3, DIR
AVSD1	VSD1
AWAT1	DGAT2L3
AWAT2	DGAT2L4
AXDND1	C1orf125
AZF1	AZF
AZIN1	OAZIN
B3GALNT1	B3GALT3
B3GAT1	CD57, LEU7
B3GAT3P1	B3GAT3P
B3GNT1	B3GNT6
B3GNT2	B3GNT1
B3GNT3	TMEM3
B3GNT8	B3GALT7
B4GALNT1	GALGT
B4GALNT2	GALGT2
B4GALT1	GGTB2
BABAM1	C19orf62
BACE1	BACE
BACE1-AS	BACE1AS
BACE2	AEPLC
BACE2-IT1	C21orf75, NCRNA00228
BACH1-IT3	C21orf8
BAG6	BAT3
BAGE4	MLL3P
BAK1	CDN1
BAK1P1	BCL2L7P1
BAK1P2	BCL2L7P2
BANF2	C20orf179
BAZ1B	WBSCR9, WBSCR10
BBIP1	NCRNA00081
BBOX1	BBOX
BBS2	BBS
BBS10	C12orf58
BBS12	C4orf24
BCAM	LU
BCAT1	BCT1
BCAT2	BCT2
BCHE	CHE1
BCKDHA	OVD1A
BCL2A1	HBPA1
BCL2L15	C1orf178
BCL3	D19S37, BCL4
BCL6	ZNF51
BCL6B	ZNF62
BCL7A	BCL7
BCL11A	EVI9
BCL11B	ZNF856B
BCMO1	BCDO, BCDO1
BCO2	BCDO2
BCORL1	CXorf10
BCORP1	BCORL2
BCR	D22S11, BCR1
BCRP2	BCR2, BCRL2
BCRP3	BCR3, BCRL6, BCRL3
BCRP4	BCR4, BCRL4
BCRP5	BCRL5
BDH1	BDH
BDH2	DHRS6
BDH2P1	DHRS6P1
BDNF-AS1	BDNFOS, BDNF-AS
BDP1	TFNR, TAF3B1
BEND2	CXorf20
BEND3	KIAA1553
BEND4	CCDC4
BEND5	C1orf165
BEND6	C6orf65
BEND7	C10orf30
BEST1	VMD2
BEST2	VMD2L1
BEST3	VMD2L3
BEST4	VMD2L2
BEX4	BEXL1
BEX5	NGFRAP1L1
BHLHA15	BHLHB8
BHLHE22	TNRC20, BHLHB5
BHLHE23	BHLHB4
BHLHE40	STRA13, BHLHB2
BHLHE41	BHLHB3
BIN1	AMPHL
BIRC2	API1
BIRC3	API2
BIRC5	API4
BLOC1S1	GCN5L1
BLVRA	BLVR
BLVRB	FLR
BMI1	PCGF4
BMP1	PCOLC
BMP2	BMP2A
BMP4	BMP2B
BMP6	VGR
BMP8B	BMP8
BMPR1A	ACVRLK3
BMPR2	PPH1
BMS1	BMS1L
BMS1P1	BMS1LP1
BMS1P2	BMS1LP2
BMS1P3	BMS1LP3
BMS1P4	BMS1LP4
BMS1P5	BMS1LP5
BMS1P6	BMS1LP6
BMS1P7	BMS1LP7
BNC1	BNC
BNIP3P1	BNIP3P
BOD1	FAM44B
BOD1L	FAM44A
BOD1P	FAM44C
BOK-AS1	BOKAS
BORA	C13orf34
BPHL	MCNAA
BPIFA1	PLUNC
BPIFA2	C20orf70
BPIFA3	C20orf71
BPIFB1	C20orf114
BPIFB2	C20orf184, BPIL1
BPIFB3	C20orf185
BPIFB4	C20orf186
BPIFB6	BPIL3
BPIFB9P	C20orf115
BPIFC	BPIL2
BPTF	FALZ
BPY2	VCY2
BRAFP1	BRAFPS2
BRAT1	C7orf27, BAAT1
BRCA2	FANCD1, FACD, FANCD
BRCC3	CXorf53
BRD7P1	BRD7P
BRF1	TAF3B2, TAF3C, GTF3B
BRIX1	BXDC2
BRK1	C3orf10
BRMS1L	BRMS1
BROX	C1orf58
BRSK2	C11orf7, STK29
BRWD1	C21orf107, WDR9
BRWD1-IT2	C21orf87, NCRNA00257
BSCL2	GNG3LG, SPG17
BSG	OK
BSN	ZNF231
BSND	DFNB73
BTBD16	C10orf87
BTF3	NACB
BTF3P10	RAET1J
BTF3P11	BTF3L1
BTF3P12	BTF3L2
BTF3P13	BTF3L3
BTK	AGMX1, IMD1
BTN1A1	BTN
BTN2A3P	BTN2A3
BUB1	BUB1L
BVES-AS1	C6orf112
BZW1P2	BZW1L1
C1orf228	NCRNA00082
C1QBP	HABP1
C1QC	C1QG
C2CD2	C21orf25
C2CD2L	TMEM24
C2CD4A	FAM148A
C2CD4B	FAM148B
C2CD4C	KIAA1957, FAM148C
C2orf27A	C2orf27
C3orf51	C1orf1
C3orf75	TMEM103
C4BPA	C4BP
C4BPAP1	C4BPAL1
C4BPAP2	C4BPAL2
C4BPB	C4BP
C5AR1	C5R1
C6orf170	C6orf171
C9orf47	C9orf108
C9orf174	KIAA1529
C10orf2	IOSCA
C11orf2	C11orf3
C11orf41	C11orf69
C12orf28	C12orf15
C14orf43	C14orf117
C14orf132	C14orf88
C14orf176	NCRNA00220, C14orf95
C14orf180	C14orf77
C15orf57	CCDC32
C16orf70	C16orf6, LIN10
C17orf76-AS1	C17orf45, NCRNA00188
C19orf10	IL27, IL27w
C19orf29-AS1	C19orf29OS
C20orf112	C20orf113
C20orf132	C20orf131
C20orf166-AS1	C20orf200, NCRNA00335
C21orf59	C21orf48
C21orf62	C21orf120
C21orf63	C21orf64
C21orf67	C21orf69
C21orf91	C21orf38, C21orf14
C21orf91-OT1	NCRNA00285
CA4	RP17
CA5A	CA5
CA5BP1	CA5BL, CA5BP
CA8	CALS
CABLES2	C20orf150
CABP5	CABP3
CABS1	C4orf35
CABYRP1	CABYRP
CACFD1	C9orf7
CACHD1	VWCD1
CACNA1A	CACNL1A4, SCA6, MHP1, MHP
CACNA1B	CACNL1A5
CACNA1C	CCHL1A1, CACNL1A1
CACNA1D	CCHL1A2, CACNL1A2
CACNA1E	CACNL1A6
CACNA1F	CSNB2, AIED
CACNA1S	HOKPP, MHS5, CACNL1A3
CACNA2D1	CACNL2A, CACNA2, MHS3
CACNB1	CACNLB1
CACNB2	MYSB, CACNLB2
CACNB3	CACNLB3
CACNG1	CACNLG
CADM1	TSLC1, IGSF4
CADM2	IGSF4D
CADM3	IGSF4B
CADM4	IGSF4C
CAGE1	CTAG3
CALB1	CALB
CALCA	CALC1
CALCB	CALC2
CALHM1	FAM26C
CALHM2	FAM26B
CALHM3	FAM26A
CALM1	CALML2
CALM1P1	CALML1
CALY	DRD1IP
CAMK2A	CAMKA
CAMK2B	CAMKB
CAMK2D	CAMKD
CAMK2G	CAMKG
CAMKMT	C2orf34
CAMSAP2	CAMSAP1L1
CAMSAP3	KIAA1543
CAPG	AFCP
CAPN3	LGMD2, LGMD2A
CAPNS1	CAPN4
CAPRIN1	M11S1, GPIAP1
CAPRIN2	C1QDC1
CARM1P1	CARM1L
CARNS1	ATPGD1
CASC2	C10orf5
CASK	TNRC8
CASKP1	CASKP
CASP1	IL1BC
CASP2	NEDD2
CASP12	CASP12P1
CASQ1	CASQ
CASR	HHC, HHC1
CASS4	C20orf32
CATSPERB	C14orf161
CATSPERD	TMEM146
CATSPERG	C19orf15
CAV1	CAV
CBL	CBL2
CBLN4	CBLNL1
CBR1	CBR
CBX1P5	CBX9
CBX2	CDCA6
CBY1	C22orf2, PGEA1
CC2D2B	C10orf130
CCBP2	CMKBR9
CCDC6	TST1, D10S170
CCDC22	CXorf37
CCDC28A	C6orf80
CCDC48	C3orf73
CCDC50	C3orf6, DFNA44
CCDC71L	C7orf74
CCDC78	C16orf25
CCDC88A	KIAA1212
CCDC88B	CCDC88
CCDC88C	KIAA1509
CCDC90A	C6orf79
CCDC90AP1	C17orf23
CCDC102B	C18orf14, ACY1L
CCDC135	C16orf50
CCDC147	C10orf80
CCDC162P	C6orf184, C6orf185, CCDC162
CCDC163P	C1orf231
CCDC164	C2orf39
CCDC167	C6orf129
CCDC168	C13orf40
CCDC169	C13orf38
CCDC169-SOHLH2	C13orf38-SOHLH2
CCHCR1	C6orf18
CCL1	SCYA1
CCL2	SCYA2
CCL3	SCYA3
CCL3L1	D17S1718, SCYA3L, SCYA3L1
CCL3P1	SCYA3L2, CCL3L2
CCL4	LAG1, SCYA4
CCL4L1	SCYA4L, CCL4L
CCL5	D17S136E, SCYA5
CCL7	SCYA6, SCYA7
CCL8	SCYA8
CCL11	SCYA11
CCL13	SCYA13
CCL14	SCYA14
CCL15	SCYA15
CCL16	SCYA16
CCL17	SCYA17
CCL18	SCYA18
CCL19	SCYA19
CCL20	SCYA20
CCL21	SCYA21
CCL22	SCYA22
CCL23	SCYA23
CCL24	SCYA24
CCL25	SCYA25
CCL26	SCYA26
CCL27	SCYA27
CCM2	C7orf22
CCNA2	CCNA, CCN1
CCNB1	CCNB
CCNB1IP1	C14orf18
CCND1	BCL1, D11S287E, PRAD1
CCNE1	CCNE
CCNG1	CCNG
CCNJP1	CCNJP
CCNL2	CCNM
CCNO	CCNU
CCNT1	HIVE1
CCNY	C10orf9
CCNYL2	C10orf21
CCR1	SCYAR1, CMKBR1
CCR2	CMKBR2
CCR3	CMKBR3
CCR5	CMKBR5
CCR6	STRL22
CCR7	CMKBR7, EBI1
CCR8	CMKBRL2, CMKBR8
CCR9	GPR28
CCR10	GPR2
CCR12P	GPR183P1
CCRL1P1	CCRL1P
CCT3	TRIC5
CCT6A	CCT6
CCT6P1	CCT6AP1
CCT8	C21orf112
CCT8L1P	CCT8L1
CCZ1	C7orf28A
CCZ1B	C7orf28B
CD1A	CD1
CD1B	CD1
CD1C	CD1
CD2	SRBC
CD3D	T3D
CD5	LEU1
CD5L	API6
CD8A	CD8
CD8B	CD8B1
CD8BP	CD8B2
CD9	MIC3
CD24P2	CD24L2
CD24P3	CD24L3
CD24P4	CD24L4
CD27	TNFRSF7
CD40	TNFRSF5
CD40LG	HIGM1, IMD3, TNFSF5
CD44	MIC4, MDU2, MDU3
CD46	MIC10, MCP
CD46P1	MCPL, CD46P
CD47	MER6
CD48	BCM1
CD52	CDW52
CD53	MOX44
CD55	DAF
CD58	LFA3
CD59	MIC11, MIN1, MSK21, MIN2, MIN3
CD63	MLA1
CD70	CD27LG, TNFSF7
CD74	DHLAG
CD79A	IGA
CD79B	IGB
CD80	CD28LG, CD28LG1
CD81	TAPA1
CD82	ST6, KAI1
CD83P1	CD83P
CD86	CD28LG2
CD93	MXRA4, C1QR1
CD99	MIC2
CD99L2	MIC2L1
CD99P1	MIC2R, NCRNA00103, CXYorf12, CD99L1
CD101	IGSF2
CD177P1	CD177P
CD180	LY64
CD200	MOX1, MOX2
CD200R1	MOX2R
CD247	CD3Z
CD248	CD164L1
CD274	PDCD1LG1
CD300E	CD300LE
CDC6	CDC18L
CDC7	CDC7L1
CDC20P1	CDC20P
CDC25C	CDC25
CDC26	C9orf17
CDC26P1	CDC26P
CDC27	D0S1430E, D17S978E
CDC45	CDC45L2, CDC45L
CDC73	C1orf28, HRPT2
CDC123	C10orf7
CDH1	UVO
CDH2	NCAD
CDH12P2	CDH12P
CDH15	CDH3, CDH14
CDH22	C20orf25
CDH23	DFNB12, USH1D
CDH23-AS1	C10orf106, NCRNA00223
CDHR1	PCDH21
CDHR2	PCDH24
CDHR4	CDH29
CDHR5	MUCDHL, MUPCDH
CDK1	CDC2
CDK5RAP1	C20orf34
CDK5RAP2	MCPH3
CDK9	CDC2L4
CDK11A	CDC2L3, CDC2L2
CDK11B	CDC2L1
CDK12	CRKRS
CDK13	CDC2L5
CDK14	PFTK1
CDK15	ALS2CR7, PFTK2
CDK16	PCTK1
CDK17	PCTK2
CDK18	PCTK3
CDK19	CDK11, CDC2L6
CDK20	CCRK
CDKL5	STK9
CDKN1A	CDKN1
CDKN1C	BWCR, BWS
CDKN2A	CDKN2, MLM
CDL1	CDL
CDNF	ARMETL1
CDR1	CDR
CDRT15P1	CDRT15P
CDRT15P2	CDRT15L1
CDX2	CDX3
CDY2A	CDY2
CEACAM1	BGP
CEACAM3	CGM1
CEACAM4	CGM7
CEACAM5	CEA
CEACAM6	NCA
